ROCKSTAR (feat. Roddy Ricch)
my future
Wishing Well
cardigan
exile (feat. Bon Iver)
Come & Go (with Marshmello)
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix"
the 1
Watermelon Sugar
Blueberry Faygo
Blinding Lights
the last great american dynasty
For The Night (feat. Lil Baby & DaBaby)
POPSTAR (feat. Drake)
august
my tears ricochet
Conversations
Savage Love (Laxed - Siren Beat)
The Woo (feat. 50 Cent & Roddy Ricch)
Rags2Riches (feat. ATR Son Son)
Party Girl
invisible string
Hate The Other Side (with Marshmello & The Kid Laroi)
seven
mirrorball
Roses - Imanbek Remix
We Paid (feat. 42 Dugg)
Go Crazy
this is me trying
Righteous
The Box
Mood Swings (feat. Lil Tjay)
illicit affairs
betty
GO (feat. Juice WRLD)
Got It On Me
Life's A Mess (feat. Halsey)
GREECE (feat. Drake)
DOLLAZ ON MY HEAD (feat. Young Thug)
death bed (coffee for your head)
mad woman
THE SCOTTS
Lucid Dreams
Sunday Best
Circles
Blood On My Jeans
Sunflower - Spider-Man: Into the Spider-Verse
Toosie Slide
UN DIA (ONE DAY) (Feat. Tainy)
peace
WHATS POPPIN
epiphany
Over Your Head
Robbery
Move Ya Hips (feat. Nicki Minaj & MadeinTYO)
After Party
Adore You
The Bigger Picture
Intentions (feat. Quavo)
Narrow Road (feat. Lil Baby)
All Girls Are The Same
Rain On Me (with Ariana Grande)
Savage Remix (feat. Beyoncé)
21
Life Is Good (feat. Drake)
Dior
Flex (feat. Juice WRLD)
hoax
Chicago Freestyle (feat. Giveon)
Before You Go
Someone You Loved
goosebumps
Walk Em Down (feat. Roddy Ricch)
Stay High
Are You Bored Yet? (feat. Clairo)
Nobody's Love
Heather
ROXANNE
hot girl bummer
Be Like That - feat. Swae Lee & Khalid
I Should Probably Go To Bed
Stunnin' (feat. Harm Franklin)
HIGHEST IN THE ROOM
Be Kind (with Halsey)
Falling
The Climb Back
everything i wanted
Lion King On Ice
Break My Heart
Bad Energy
Tell Me U Luv Me (with Trippie Redd)
Ballin' (with Roddy Ricch)
Electric Love
Stuck with U (with Justin Bieber)
Breaking Me
Titanic
Man Of The Year
Up Up And Away
Bandit (with YoungBoy Never Broke Again)
Supalonely
Patek
Prospect (ft. Lil Baby)
More Than My Hometown
SICKO MODE
Tap In
High Fashion (feat. Mustard)
ily (i love you baby) (feat. Emilee)
3 Headed Goat (feat. Lil Baby & Polo G)
BOP
Jocelyn Flores
Perfect
Whiskey Glasses
Don't Start Now
Girls in the Hood
Dance Monkey
Chasin' You
Heartless (feat. Morgan Wallen)
Fighting Demons
My Oasis (feat. Burna Boy)
Godzilla (feat. Juice WRLD)
bad guy
you broke me first
Can't Die
SLOW DANCING IN THE DARK
lovely (with Khalid)
SAD!
If the World Was Ending - feat. Julia Michaels
Say So
TELL ME WHY
MIDDLE CHILD
Screw Juice
GOOBA
PTSD
Falling
Drip Too Hard (Lil Baby & Gunna)
when the party's over
Something Special
Wow.
Myron
rockstar (feat. 21 Savage)
Beautiful Crazy
Mariposa
XO Tour Llif3
I Want It
Tongue Tied
Armed And Dangerous
I Fall Apart
"...And To Those I Love, Thanks For Sticking Around"
July
Die From A Broken Heart
La Jeepeta - Remix
RELENTLESS (feat. Lil Uzi Vert)
Suicidal (Remix) [feat. Juice WRLD]
NO DRIBBLE (feat. Stunna 4 Vegas)
No Guidance (feat. Drake)
24
Suge
Pop Out (feat. Lil Tjay)
"10,000 Hours (with Justin Bieber)"
Truth Hurts
Magic In The Hamptons (feat. Lil Yachty)
The Less I Know The Better
I Hope
Fuck Love (feat. Trippie Redd)
Kings & Queens
Ransom
That Way - Bonus Track
Emotionally Scarred
Turks (with Gunna & ft. Travis Scott)
No Role Modelz
Sum 2 Prove
20 Min
Goodbyes (feat. Young Thug)
Money In The Grave (Drake ft. Rick Ross)
MAMACITA
Party Girl (Remix)
Memories
F.N
Moonlight
OUT WEST (feat. Young Thug)
Lean Wit Me
Better Now
How You Like That
Murder On My Mind
Heart On Ice
Lose Somebody
Said Sum
Shotta Flow 5
Maniac
ocean eyes
Money Trees
Woah
Que Se Joda
Go Stupid
P2
Wait a Minute!
Congratulations
Mr. Brightside
Going Bad (feat. Drake)
Savage
