ROCKSTAR (feat. Roddy Ricch)
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix"
Party Girl
Blueberry Faygo
Blinding Lights
Watermelon Sugar
THE SCOTTS
The Box
We Paid (feat. 42 Dugg)
Savage Love (Laxed - Siren Beat)
Toosie Slide
The Bigger Picture
Roses - Imanbek Remix
Savage Remix (feat. Beyoncé)
How You Like That
Rain On Me (with Ariana Grande)
After Party
Sunday Best
WHATS POPPIN
death bed (coffee for your head)
Walk Em Down (feat. Roddy Ricch)
Intentions (feat. Quavo)
Chicago Freestyle (feat. Giveon)
Circles
GO (feat. Juice WRLD)
Don't Start Now
Sunflower - Spider-Man: Into the Spider-Verse
Life Is Good (feat. Drake)
Flex (feat. Juice WRLD)
Tommy Lee (feat. Post Malone)
DOLLAZ ON MY HEAD (feat. Young Thug)
Break My Heart
Stuck with U (with Justin Bieber)
Falling
Lucid Dreams
Adore You
Girls in the Hood
Righteous
Supalonely
goosebumps
GOOBA
Prospect (ft. Lil Baby)
Say So
hot girl bummer
Before You Go
HIGHEST IN THE ROOM
Ballin' (with Roddy Ricch)
Emotionally Scarred
Someone You Loved
ROXANNE
High Fashion (feat. Mustard)
Be Kind (with Halsey)
Deep End Freestyle
21
Robbery
Myron
All Girls Are The Same
ily (i love you baby) (feat. Emilee)
Bandit (with YoungBoy Never Broke Again)
SICKO MODE
Shotta Flow 5
Chasin' You
Go Crazy
Play Date
BOP
Dance Monkey
Wash Us In The Blood
Godzilla (feat. Juice WRLD)
Know My Rights (feat. Lil Baby)
Jocelyn Flores
Stunnin' (feat. Harm Franklin)
Whiskey Glasses
In Your Eyes
Breaking Me
Lose Somebody
everything i wanted
SAD!
Are You Bored Yet? (feat. Clairo)
Yo Perreo Sola
Hasta Que Dios Diga
That Way - Bonus Track
MIDDLE CHILD
Savage
If the World Was Ending - feat. Julia Michaels
Ransom
P2
OUT WEST (feat. Young Thug)
Drip Too Hard (Lil Baby & Gunna)
Magic In The Hamptons (feat. Lil Yachty)
Turks (with Gunna & ft. Travis Scott)
Money In The Grave (Drake ft. Rick Ross)
PTSD
SLOW DANCING IN THE DARK
TROLLZ (with Nicki Minaj)
Back At It (feat. Lil Baby)
"...And To Those I Love, Thanks For Sticking Around"
Truth Hurts
Wow.
Suge
lovely (with Khalid)
Suicidal (Remix) [feat. Juice WRLD]
BLACK PARADE
Beautiful Crazy
Heartless (feat. Morgan Wallen)
XO Tour Llif3
rockstar (feat. 21 Savage)
Dior
Go Stupid
bad guy
Sum 2 Prove
"10,000 Hours (with Justin Bieber)"
TKN (feat. Travis Scott)
I Fall Apart
I Hope
Woah
COOLER THAN A BITCH (feat. Roddy Ricch)
No Guidance (feat. Drake)
Safaera
More Than My Hometown
Sour Candy (with BLACKPINK)
Goodbyes (feat. Young Thug)
Pop Out (feat. Lil Tjay)
Do It
The Less I Know The Better
Memories
MAMACITA
Armed And Dangerous
Falling
July
Fuck Love (feat. Trippie Redd)
Tongue Tied
Maniac
when the party's over
Snow On Tha Bluff
Be Something (feat. Lil Baby)
Señorita
Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)
Moonlight
Bleed
VACATION
Better Now
EARFQUAKE
Solitaires (feat. Travis Scott)
Kings & Queens
Make It Rain
Going Bad (feat. Drake)
Tell Me U Luv Me (with Trippie Redd)
No Role Modelz
This City
Lean Wit Me
Murder On My Mind
Broke In A Minute
SUGAR
F.N
Congratulations
Past Life (with Selena Gomez)
China
Like That (feat. Gucci Mane)
Need It
When It Rains It Pours
Wait a Minute!
3 Headed Goat (feat. Lil Baby & Polo G)
I Hope You’re Happy Now
7 rings
Swervin (feat. 6ix9ine)
20 Min
No Idea
Heartless
VIBEZ
Rags2Riches (feat. ATR Son Son)
Body Like A Back Road
On Me (feat. Ava Max) - From 'SCOOB!' The Album
Camelot
Best Part (feat. Daniel Caesar)
Reggaetonera
Legends
Mr. Brightside
Heart On Ice
223's (feat. 9lokknine)
One Margarita
ROCKSTAR (feat. Roddy Ricch) - BLM REMIX
HUMBLE.
Yes Indeed
Happier
Say You Won't Let Go
Hate Me (with Juice WRLD)
The London (feat. J. Cole & Travis Scott)
Redbone
Don't Stop Believin'
Tequila
changes
Costa Rica (feat. The Kid LAROI) - Remix
Suicidal
Heather
Mariposa
Beer Never Broke My Heart
Electric Love
Young Dumb & Broke
Meant to Be (feat. Florida Georgia Line)
Everybody Dies In Their Nightmares
