ROCKSTAR (feat. Roddy Ricch)
For The Night (feat. Lil Baby & DaBaby)
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix"
Watermelon Sugar
Blueberry Faygo
Party Girl
Blinding Lights
The Woo (feat. 50 Cent & Roddy Ricch)
Savage Love (Laxed - Siren Beat)
We Paid (feat. 42 Dugg)
THE SCOTTS
The Box
Roses - Imanbek Remix
Toosie Slide
Got It On Me
The Bigger Picture
Savage Remix (feat. Beyoncé)
Dior
Sunday Best
Rain On Me (with Ariana Grande)
After Party
WHATS POPPIN
death bed (coffee for your head)
Aim For The Moon (feat. Quavo)
Make It Rain (feat. Rowdy Rebel)
Walk Em Down (feat. Roddy Ricch)
Gangstas
Intentions (feat. Quavo)
Circles
Sunflower - Spider-Man: Into the Spider-Verse
44 BullDog
Chicago Freestyle (feat. Giveon)
Wash Us In The Blood
GO (feat. Juice WRLD)
Something Special
Flex (feat. Juice WRLD)
Creature (feat. Swae Lee)
Life Is Good (feat. Drake)
Lucid Dreams
DOLLAZ ON MY HEAD (feat. Young Thug)
Righteous
Mood Swings (feat. Lil Tjay)
Don't Start Now
Rags2Riches (feat. ATR Son Son)
Go Crazy
Yea Yea
Break My Heart
Adore You
Prospect (ft. Lil Baby)
Supalonely
Stuck with U (with Justin Bieber)
Say So
How You Like That
21
goosebumps
Before You Go
Robbery
What You Know Bout Love
All Girls Are The Same
Snitching (feat. Quavo & Future)
hot girl bummer
Someone You Loved
HIGHEST IN THE ROOM
Enjoy Yourself (feat. Karol G)
Ballin' (with Roddy Ricch)
Bad Bitch From Tokyo (Intro)
Stunnin' (feat. Harm Franklin)
Life's A Mess (feat. Halsey)
Tommy Lee (feat. Post Malone)
High Fashion (feat. Mustard)
Be Kind (with Halsey)
ily (i love you baby) (feat. Emilee)
Falling
ROXANNE
Are You Bored Yet? (feat. Clairo)
Bandit (with YoungBoy Never Broke Again)
GOOBA
Deep End Freestyle
West Coast Shit (feat. Tyga & Quavo)
Dance Monkey
SICKO MODE
BOP
Breaking Me
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)"
Chasin' You
Godzilla (feat. Juice WRLD)
Emotionally Scarred
Hasta Que Dios Diga
Jocelyn Flores
Whiskey Glasses
Shotta Flow 5
Play Date
Heartless (feat. Morgan Wallen)
Girls in the Hood
Flood My Wrist (feat. Lil Uzi Vert)
Tunnel Vision (Outro)
Myron
In Your Eyes
SAD!
everything i wanted
3 Headed Goat (feat. Lil Baby & Polo G)
Reggaetonera
TKN (feat. Travis Scott)
Diana (feat. King Combs)
That Way - Bonus Track
You'll Be Back
SLOW DANCING IN THE DARK
Drip Too Hard (Lil Baby & Gunna)
Suicidal (Remix) [feat. Juice WRLD]
Ransom
MIDDLE CHILD
Money In The Grave (Drake ft. Rick Ross)
PTSD
Magic In The Hamptons (feat. Lil Yachty)
OUT WEST (feat. Young Thug)
If the World Was Ending - feat. Julia Michaels
MAMACITA
Lose Somebody
P2
rockstar (feat. 21 Savage)
Beautiful Crazy
Suge
Wow.
lovely (with Khalid)
Satisfied
Alexander Hamilton
Truth Hurts
Armed And Dangerous
"...And To Those I Love, Thanks For Sticking Around"
XO Tour Llif3
Turks (with Gunna & ft. Travis Scott)
bad guy
Tongue Tied
One Margarita
Sum 2 Prove
Pop Out (feat. Lil Tjay)
Go Stupid
Safaera
Back At It (feat. Lil Baby)
The Less I Know The Better
More Than My Hometown
Yo Perreo Sola
I Fall Apart
No Guidance (feat. Drake)
Chicken Fried
Woah
On Me (feat. Ava Max) - From 'SCOOB!' The Album
Memories
Goodbyes (feat. Young Thug)
Past Life (with Selena Gomez)
Savage
Narcos
Lean Wit Me
Fuck Love (feat. Trippie Redd)
July
Jangueo
Falling
Body Like A Back Road
Wait a Minute!
Señorita
Do It
When It Rains It Pours
Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake)
Helpless
when the party's over
My Shot
"10,000 Hours (with Justin Bieber)"
Moonlight
Party In The U.S.A.
Solitaires (feat. Travis Scott)
Maniac
Mr. Brightside
Better Now
TROLLZ (with Nicki Minaj)
Legends
The Schuyler Sisters
EARFQUAKE
Tell Me U Luv Me (with Trippie Redd)
F.N
Sweet Home Alabama
Mariposa
No Role Modelz
Don't Stop Believin'
Congratulations
Hate Me (with Juice WRLD)
VACATION
Murder On My Mind
Dance with Me (feat. Thomas Rhett & Young Thug)
Like That (feat. Gucci Mane)
Kings & Queens
Going Bad (feat. Drake)
Electric Love
SUGAR
Fútbol & Rumba (feat. Enrique Iglesias)
Tennessee Whiskey
Be Something (feat. Lil Baby)
I Hope
Wait for It
20 Min
Broke In A Minute
